PRODUCTO,CANTIDAD,ENTRADA/SALIDA,CONCEPTO,DOCUMENTO,STATUS,CADENA,FECHA DE ENVIO/RECEPCION,GRUPO,COSTO UNIT,MES,A¥O
CUCHARA SOPERA ACERO,28800,ENTRADA,COMPRA,P03582,STOCK,PEONIA DE SAN LUIS,03/01/2024,UTENSILIOS,1.08,1,2024
TENEDOR ACERO,21600,ENTRADA,COMPRA,P03582,STOCK,PEONIA DE SAN LUIS,03/01/2024,UTENSILIOS,1.08,1,2024
TABLA CUADRADA 20X30,500,ENTRADA,COMPRA,P03583,STOCK,JUAN CARLOS SAVEEDRA,05/01/2024,COCINA,15.55,1,2024
TABLA CUADRADA 25X30,400,ENTRADA,COMPRA,P03583,STOCK,JUAN CARLOS SAVEEDRA,05/01/2024,COCINA,25.2,1,2024
TABLA PALETA 20X35,250,ENTRADA,COMPRA,P03583,STOCK,JUAN CARLOS SAVEEDRA,05/01/2024,COCINA,19.45,1,2024
PINZA DE PAN,660,ENTRADA,COMPRA,P03584,STOCK,CENTRO,03/01/2024,UTENSILIOS,7.08,1,2024
JUEGO DE 3 COLADERAS,600,ENTRADA,COMPRA,P03586,STOCK,NORDITALIA,10/01/2024,COCINA,12,1,2024
"GLOBO METALICO NUMERO 0 DE 16""",2000,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 1 DE 16""",3000,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 2 DE 16""",5000,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 3 DE 16""",2000,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 4 DE 16""",2000,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 5 DE 16""",500,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 6 DE 16""",500,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
"GLOBO METALICO NUMERO 7 DE 16""",1500,ENTRADA,COMPRA,P03587,STOCK,CENTRO,04/01/2024,FIESTA,2.5,1,2024
